date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:06:12	2132/2132	U-----	200	untouched ('')	application/javascript	etag:W/%227b6a4465da1d5f1c5080cfd90c635d93%22	https://static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.e3cce58a.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.e3cce58a.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:12	4676/4676	U-----	200	untouched ('')	application/javascript	etag:W/%2299c955f6da47c323e0285260ac357c55%22	https://static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.aa3092b6.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.aa3092b6.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:12	32200/32200	U-----	200	untouched ('')	application/javascript	etag:W/%22d76b333918d86d2ab43e606425058744%22	https://static.parastorage.com/services/wix-thunderbolt/dist/languageSelector.6f83b86e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/languageSelector.6f83b86e.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:46	949/949	U-----	200	untouched ('')	application/javascript	etag:W/%22fbc8ac8fe684a01b4e7e3e37b7e562f0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.44312ab2.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.44312ab2.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:46	1814/1814	U-----	200	untouched ('')	application/javascript	etag:W/%22a2fa277c2519502c52fa9c701aa05ed9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageScroll.27878a03.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/pageScroll.27878a03.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:46	1539/1539	U-----	200	untouched ('')	application/javascript	etag:W/%22a258047f4d1247cd847ec595078c8925%22	https://static.parastorage.com/services/wix-thunderbolt/dist/navigation.d52e35f9.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/navigation.d52e35f9.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:06:47	3672/3672	U-----	200	untouched ('')	application/javascript	etag:W/%229b7f1163db510498017d5bcb5045fd29%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.09830e4e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.09830e4e.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:21	649/649	U-----	200	untouched ('')	application/javascript	etag:W/%228bedbb2be1be75a9fe6e262f77f53931%22	https://static.parastorage.com/services/wix-thunderbolt/dist/scrollRestoration.e0dfdb21.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/scrollRestoration.e0dfdb21.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:21	2868/2868	U-----	200	untouched ('')	application/javascript	etag:W/%2209df7a60059850d1c78ad95c3f18c0d0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/scrollToAnchor.265e4abd.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/scrollToAnchor.265e4abd.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:21	67844/67844	U-----	200	untouched ('')	application/javascript	etag:W/%22d08ca0572363fb7db30762baead9eb3a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa.61d0eb67.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/tpa.61d0eb67.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:21	2804/2804	U-----	200	untouched ('')	application/javascript	etag:W/%222f407d4b177429d5924652fe4bbb479f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowScroll.76127738.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/windowScroll.76127738.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:56	885/885	U-----	200	untouched ('')	application/javascript	etag:W/%220459eccd4840580c92eba92149611757%22	https://static.parastorage.com/services/wix-thunderbolt/dist/landingPage.d5604e3a.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/landingPage.d5604e3a.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:56	5844/5844	U-----	200	untouched ('')	application/javascript	etag:W/%229a96da876985eb9b2ac570ad5ed1132a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/screenIn.faadba01.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/screenIn.faadba01.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
